ALS_Document_ID,Document_Title,Document_Type,Certification_Basis,Source_Reports,Approving_Authority,Approval_Date,Approval_Reference,Related_ATA_Chapters,AMM_Tasks,Status
ALS_LIMIT_32-10-01,Main Landing Gear Life Limit,ALS-LIMIT,"CS 25.571, FAR 25.571",STR-RPT-32-005,EASA,2028-03-15,EASA.21.J.XXX,ATA 32,32-10-00-710-001,Active
ALS_LIMIT_32-10-01,Main Landing Gear Life Limit,ALS-LIMIT,"CS 25.571, FAR 25.571",STR-RPT-32-005,FAA,2028-03-20,FAA-ALS-XXX-2028,ATA 32,32-10-00-710-001,Active
ALS_LIMIT_72-30-01,High-Pressure Turbine Disk Life Limit,ALS-LIMIT,"CS 25.571, CS-E 520, FAA AC 33.14-1",ENG-RPT-72-030,EASA,2028-03-15,EASA.21.J.XXX,ATA 72,"72-30-00-710-001, 72-30-00-600-001, 72-30-00-600-002",Active
ALS_LIMIT_72-30-01,High-Pressure Turbine Disk Life Limit,ALS-LIMIT,"CS 25.571, CS-E 520, FAA AC 33.14-1",ENG-RPT-72-030,FAA,2028-03-20,FAA-ALS-XXX-2028,ATA 72,"72-30-00-710-001, 72-30-00-600-001, 72-30-00-600-002",Active
ALS_INSP_53-10-01,BWB Wing Root Fatigue Inspection,ALS-INSP,"CS 25.571, FAA AC 25.571-1D",STR-RPT-53-010,EASA,2028-03-15,EASA.21.J.XXX,ATA 53,"53-10-00-400-001, 53-10-00-600-001, 53-10-00-600-002",Active
ALS_INSP_53-10-01,BWB Wing Root Fatigue Inspection,ALS-INSP,"CS 25.571, FAA AC 25.571-1D",STR-RPT-53-010,FAA,2028-03-20,FAA-ALS-XXX-2028,ATA 53,"53-10-00-400-001, 53-10-00-600-001, 53-10-00-600-002",Active
ALS_INSP_57-50-01,Outboard Wing Joint Inspection,ALS-INSP,"CS 25.571, CS 25.613, FAA AC 25.571-1D",STR-RPT-57-050,EASA,2028-03-15,EASA.21.J.XXX,ATA 57,"57-50-00-400-001, 57-50-00-600-001, 57-50-00-600-002, 57-50-00-600-003",Active
ALS_INSP_57-50-01,Outboard Wing Joint Inspection,ALS-INSP,"CS 25.571, CS 25.613, FAA AC 25.571-1D",STR-RPT-57-050,FAA,2028-03-20,FAA-ALS-XXX-2028,ATA 57,"57-50-00-400-001, 57-50-00-600-001, 57-50-00-600-002, 57-50-00-600-003",Active
CDCCL_Master-List,Critical Design Configuration Control Limitations - Fuel System,ALS-CDCCL,"CS 25.981, FAA SFAR 88, EASA Part 26",CDCCL-EVAL-28-001,EASA,2028-03-15,EASA.21.J.XXX,ATA 28,"28-11-40, 28-24-31, 28-30-35, 28-42-11, 28-42-12, 28-44-25, 28-50-10, 28-60-15, 28-60-20, 28-60-45",Active
CDCCL_Master-List,Critical Design Configuration Control Limitations - Fuel System,ALS-CDCCL,"CS 25.981, FAA SFAR 88, EASA Part 26",CDCCL-EVAL-28-001,FAA,2028-03-20,FAA-ALS-XXX-2028,ATA 28,"28-11-40, 28-24-31, 28-30-35, 28-42-11, 28-42-12, 28-44-25, 28-50-10, 28-60-15, 28-60-20, 28-60-45",Active
WFD_Program,Widespread Fatigue Damage Monitoring and Inspection Program,ALS-WFD,"CS 25.571(a)(5), FAA AC 120-104, FAA FAR 26.21","STR-RPT-50-001, FST-RPT-50-002",EASA,2028-03-15,EASA.21.J.XXX,"ATA 51, ATA 53, ATA 57","51-00-00-900-001, 51-00-00-900-002, 51-00-00-900-003, 51-00-00-900-004, 51-00-00-900-005",Active
WFD_Program,Widespread Fatigue Damage Monitoring and Inspection Program,ALS-WFD,"CS 25.571(a)(5), FAA AC 120-104, FAA FAR 26.21","STR-RPT-50-001, FST-RPT-50-002",FAA,2028-03-20,FAA-ALS-XXX-2028,"ATA 51, ATA 53, ATA 57","51-00-00-900-001, 51-00-00-900-002, 51-00-00-900-003, 51-00-00-900-004, 51-00-00-900-005",Active
