Primary_PN,Description,Alternate_PN_1,Alternate_PN_2,Alternate_PN_3,Notes,Approval_Required
MS21250-08016,BOLT HEX HEAD .500-20 1.000 GRIP,NAS6203-16,AN6-16A,,Direct interchange,No
MS21250-08020,BOLT HEX HEAD .500-20 1.250 GRIP,NAS6203-20,AN6-20A,,Direct interchange,No
MS21042-3,BOLT HEX HEAD .190-32 0.375 GRIP,AN3-3A,,,Direct interchange,No
MS21042-4,BOLT HEX HEAD .250-28 0.500 GRIP,AN4-4A,,,Direct interchange,No
MS20470AD3-3,RIVET UNIVERSAL HEAD 3/32 3/16,AN470AD3-3,,,Direct interchange,No
MS20470AD4-4,RIVET UNIVERSAL HEAD 1/8 1/4,AN470AD4-4,,,Direct interchange,No
MS20426AD3-3,RIVET 100° CSK 3/32 3/16,AN426AD3-3,,,Direct interchange,No
AN500-10-10,SCREW 82° CSK #10-32 1.00,MS24693-C32,,,With approval,Yes
AN525-10R8,SCREW WASHER HEAD #10-32 0.50,MS24693-S32,,,With approval,Yes
AN815-4D,CONNECTOR STR 1/4-28 1/4 TUBE,MS33514-4,,,Direct interchange,No
AN815-6D,CONNECTOR STR 3/8-24 3/8 TUBE,MS33514-6,,,Direct interchange,No
AN817-4D,ELBOW 90° 1/4-28 1/4 TUBE,MS33584-4,,,Direct interchange,No
AN817-6D,ELBOW 90° 3/8-24 3/8 TUBE,MS33584-6,,,Direct interchange,No
M38999/26WA35PN,CONNECTOR RCPT 35 PIN SIZE 11,MS3126F-11S35P,,,Verify contact arrangement,Yes
M38999/26WA35PA,CONNECTOR PLUG 35 PIN SIZE 11,MS3126F-11P35S,,,Verify contact arrangement,Yes
MIL-W-22759/16-20-9,WIRE TEFLON 20 AWG WHITE,M22759/16-20-0,M22759/32-20-9,,Color code may differ,No
MIL-W-22759/16-22-9,WIRE TEFLON 22 AWG WHITE,M22759/16-22-0,M22759/32-22-9,,Color code may differ,No
MS25244-5,CIRCUIT BREAKER 5A 28V DC,WE-5-5-1,,,With approval,Yes
MS25244-10,CIRCUIT BREAKER 10A 28V DC,WE-5-10-1,,,With approval,Yes
MS25244-15,CIRCUIT BREAKER 15A 28V DC,WE-5-15-1,,,With approval,Yes
AN924-4D,SLEEVE 1/4 TUBE,MS33555-4,,,Direct interchange,No
AN924-6D,SLEEVE 3/8 TUBE,MS33555-6,,,Direct interchange,No
AN929-4D,TUBE NUT 1/4-28 1/4 TUBE,MS33555-4,,,Direct interchange,No
AN929-6D,TUBE NUT 3/8-24 3/8 TUBE,MS33555-6,,,Direct interchange,No
HL70-5-6,HI-LOK PIN 5/32 0.313-0.375 GRIP,HL10-5-6,,,Verify shear/tensile requirements,Yes
HL70-6-8,HI-LOK PIN 3/16 0.438-0.500 GRIP,HL10-6-8,,,Verify shear/tensile requirements,Yes
CR3212-4-03,BLIND RIVET 1/8 0.063-0.125 GRIP,CR3213-4-3,CherryMax CR3212-4-3,,Verify grip range,Yes
PR-1782 B-2,POLYSULFIDE FUEL TANK SEALANT,PR-1422 B-2,,,Lower fuel resistance,Yes
PR-1440 B-2,POLYSULFIDE SEALANT BRUSH GRADE,PR-1422 B-1,,,Check application method,Yes
EA-9394,EPOXY FILM ADHESIVE,EA-9396,Hysol EA 9695,,Verify cure temperature,Yes
MIL-PRF-81322,SYNTHETIC GREASE,Aeroshell 33,Mobilgrease 28,Royco 27,Direct interchange,No
BMS 3-26,HIGH LOAD GREASE,Aeroshell 5,Mobilgrease 77,,Direct interchange,No
MIL-PRF-83282,HYDRAULIC FLUID FIRE RESISTANT,Skydrol LD-4,Hyjet V,,Direct interchange,No
MIL-PRF-5606,HYDRAULIC FLUID PETROLEUM,Aeroshell 41,Royco 756,,Direct interchange,No
MIL-PRF-23699,GAS TURBINE ENGINE OIL,Mobil Jet Oil II,Aeroshell 560,,Check STD vs HTS,Yes
