Wire_Type,AWG_Gauge,Max_Current_A,Voltage_Rating_V,Temp_Rating_C,Application,Specification
ETFE_Single,22,7.5,600,200,"General purpose, avionics",M22759/16
ETFE_Single,20,11,600,200,"General purpose, avionics",M22759/16
ETFE_Single,18,16,600,200,"General purpose, avionics",M22759/16
ETFE_Single,16,22,600,200,"Power distribution",M22759/16
ETFE_Single,14,32,600,200,"Power distribution",M22759/16
ETFE_Single,12,41,600,200,"Primary power feeds",M22759/16
ETFE_Single,10,55,600,200,"Primary power feeds",M22759/16
ETFE_Single,8,73,600,200,"Battery cables, starter",M22759/16
ETFE_Single,6,101,600,200,"Main power bus",M22759/16
XL-ETFE_Single,22,7.5,600,260,"High-temperature zones",M22759/34
XL-ETFE_Single,20,11,600,260,"High-temperature zones",M22759/34
XL-ETFE_Single,18,16,600,260,"High-temperature zones",M22759/34
XL-ETFE_Single,16,22,600,260,"High-temperature zones",M22759/34
Shielded_Twisted_Pair,22,7.5,600,200,"Low-level analog signals",M27500
Shielded_Twisted_Pair,20,11,600,200,"Sensor signals, data",M27500
Shielded_Twisted_Pair,18,16,600,200,"Data buses, avionics",M27500
Coaxial_50ohm,RG-142,N/A,1400,200,"RF transmission, GPS",MIL-C-17
Coaxial_50ohm,RG-400,N/A,1400,200,"RF transmission, radar",MIL-C-17
Coaxial_75ohm,RG-179,N/A,1000,200,"Video, low-power RF",MIL-C-17
Thermocouple,24,1,N/A,260,"Temperature measurement (K-type)",MIL-W-16878
Data_Bus_Twisted,22,N/A,N/A,200,"MIL-STD-1553, ARINC 429",AS81381
Fiber_Optic,N/A,N/A,N/A,125,"High-speed data, AFDX",MIL-PRF-85045
HV_Power,10,55,3000,200,"High-voltage systems, electric propulsion",M27500-HV
HV_Power,8,73,3000,200,"High-voltage systems, electric propulsion",M27500-HV
HV_Power,6,101,3000,200,"High-voltage primary distribution",M27500-HV
HV_Power,4,135,3000,200,"High-voltage primary distribution",M27500-HV
HV_Power,2,181,3000,200,"Electric motor feeds, inverter outputs",M27500-HV
Aluminum_Power,10,42,600,90,"Weight-critical power distribution",M81044
Aluminum_Power,8,55,600,90,"Weight-critical power distribution",M81044
Aluminum_Power,6,73,600,90,"Weight-critical primary power",M81044
