Line_Type,Size_AN,Material,Fitting_Type,Torque_Nm,Clamp_Spacing_mm,Pressure_Rating_PSI,Part_Number
Fuel Supply,-12,SS 321,MS Flared,45,300,600,AP360-54-6001
Fuel Return,-8,SS 321,MS Flared,30,300,400,AP360-54-6002
Fuel Drain,-4,SS 321,MS Flared,18,400,200,AP360-54-6003
Hydraulic Supply,-8,Ti 3Al-2.5V,MS Flareless,35,250,3000,AP360-54-6101
Hydraulic Return,-6,Ti 3Al-2.5V,MS Flareless,25,250,500,AP360-54-6102
Bleed Air 4",Inconel 625,V-Band,80,500,450,AP360-54-6201
Anti-Ice Air 2",Titanium,V-Band,50,400,200,AP360-54-6202
Flexible Hose Fuel,-12,PTFE/SS Braid,Swivel,50,N/A,600,MS27369-12
Flexible Hose Hydraulic,-8,Synthetic/SS,Swivel,40,N/A,3000,MS27640-8
Clamp Type A,Various,SS 304,Band Clamp,12,N/A,N/A,MS21919
Clamp Type B,Various,Cushioned,P-Clamp,8,N/A,N/A,MS21920
Cap/Plug Set Fuel,Various,Aluminum,Thread,Hand,N/A,N/A,AP360-54-6901
Cap/Plug Set Hydraulic,Various,Steel,Thread,Hand,N/A,N/A,AP360-54-6902
