Damage_Type,Severity,Component,Max_Length_inch,Max_Depth_inch,Max_Area_in2,Action_Required,Engineering_Disposition_Required,Max_Flight_Cycles_Before_Repair
Impact,Minor,Upper_Skin,1.0,0.030,0.5,Monitor,No,Unlimited
Impact,Moderate,Upper_Skin,2.0,0.060,1.0,Repair_At_Next_Maintenance,No,500
Impact,Major,Upper_Skin,4.0,0.090,4.0,Repair_Before_Next_Flight,Yes,0
Impact,Critical,Upper_Skin,>4.0,>0.090,>4.0,Immediate_Repair,Yes,0
Delamination,Minor,Composite_Skin,0.5,0.020,0.25,Monitor,No,Unlimited
Delamination,Moderate,Composite_Skin,1.0,0.040,0.5,Repair_At_Next_Maintenance,No,200
Delamination,Major,Composite_Skin,2.0,0.080,2.0,Repair_Before_Next_Flight,Yes,0
Crack,Minor,Metallic_Skin,0.25,N/A,N/A,Repair_At_Next_Maintenance,No,100
Crack,Major,Metallic_Skin,0.50,N/A,N/A,Repair_Before_Next_Flight,Yes,0
Crack,Any,Spar_Cap,Any,N/A,N/A,Immediate_Repair,Yes,0
Corrosion,Minor,Any,N/A,0.010,0.5,Monitor,No,Unlimited
Corrosion,Moderate,Any,N/A,0.020,1.0,Repair_At_Next_Maintenance,No,300
Corrosion,Major,Any,N/A,0.040,4.0,Repair_Before_Next_Flight,Yes,0
Lightning_Strike,Minor,Upper_Skin,2.0,0.020,2.0,Inspect_And_Monitor,No,Unlimited
Lightning_Strike,Major,Upper_Skin,>2.0,>0.020,>2.0,Repair_Before_Next_Flight,Yes,0
Fastener_Hole_Elongation,Minor,Any,0.005,N/A,N/A,Fastener_Replacement,No,50
Fastener_Hole_Elongation,Major,Any,0.015,N/A,N/A,Bushing_Or_Oversize_Fastener,Yes,0
Fuel_Tank_Leak,Any,Integral_Tank,N/A,N/A,N/A,Repair_Immediately,No,0
Hinge_Wear,Minor,Control_Surface,N/A,0.005,N/A,Monitor,No,500
Hinge_Wear,Major,Control_Surface,N/A,0.015,N/A,Hinge_Replacement,Yes,0
