Date,Tank_ID,Ambient_Temp_C,LH2_Temp_K,Tank_Pressure_bar,LH2_Level_Percent,Vacuum_mbar,Boiloff_Rate_kg_h,Boiloff_Rate_Percent_Day,Flight_Hours,Operator,Notes
2025-10-30,TANK-001,22.0,20.2,8.2,95.0,8.5E-05,0.85,0.28,0,JSM,Initial fill and stabilization
2025-10-31,TANK-001,21.5,20.2,8.1,94.7,8.6E-05,0.87,0.29,0,JSM,24-hour hold test day 1
2025-11-01,TANK-001,23.0,20.2,8.1,94.4,8.7E-05,0.89,0.30,0,JSM,24-hour hold test day 2
2025-11-02,TANK-001,22.5,20.2,8.0,94.1,8.8E-05,0.88,0.29,0,JSM,24-hour hold test day 3
2025-11-03,TANK-001,22.0,20.3,8.0,85.5,8.9E-05,0.90,0.30,8.5,REW,First flight operations
2025-11-04,TANK-001,21.8,20.2,8.1,76.2,9.0E-05,0.91,0.30,16.2,REW,Normal operations
2025-11-05,TANK-001,22.2,20.2,8.0,67.8,9.1E-05,0.92,0.31,23.8,JSM,Normal operations
2025-11-06,TANK-001,23.5,20.3,8.1,59.1,9.2E-05,0.93,0.31,31.5,JSM,Elevated ambient temp
2025-11-07,TANK-001,22.0,20.2,8.0,50.5,9.3E-05,0.94,0.31,39.0,REW,Normal operations
2025-11-08,TANK-001,21.5,20.2,8.1,42.0,9.4E-05,0.95,0.32,46.8,REW,Approaching refill threshold
2025-11-09,TANK-001,22.0,20.2,8.0,33.8,9.5E-05,0.96,0.32,54.2,JSM,Low level warning active
2025-11-10,TANK-001,22.5,20.3,8.1,25.5,9.6E-05,0.97,0.32,61.9,JSM,Refill scheduled
2025-11-11,TANK-001,21.8,20.2,8.0,95.2,9.7E-05,0.98,0.33,62.5,REW,Refilled - vacuum slight degradation noted
2025-11-12,TANK-001,22.0,20.2,8.1,94.9,9.8E-05,0.99,0.33,69.8,REW,Normal operations
2025-11-13,TANK-001,22.3,20.2,8.0,94.6,9.9E-05,1.00,0.33,77.5,JSM,Vacuum degradation trend - monitor
