Field_Name,Data_Type,Required,Format,Example,Description
component_id,string,Yes,PN-SN,TK-PN-100-S001,"Unique component identifier"
component_type,string,Yes,enum,Tank,"Component category (Tank, Valve, Sensor, Line)"
part_number,string,Yes,alphanumeric,TK-PN-100,"Part number per design"
serial_number,string,Yes,alphanumeric,S001,"Unique serial number"
manufacture_date,date,Yes,YYYY-MM-DD,2025-06-15,"Date of manufacture"
manufacturer,string,Yes,text,Cryogenic_Systems_Inc,"Manufacturer name"
material_heat_lot,string,Yes,alphanumeric,HT-123456,"Material heat or lot number"
coc_reference,string,Yes,alphanumeric,CoC-2025-06-001,"Certificate of Conformance reference"
coc_sha256,string,Yes,hex64,a3f5b8c...(64_chars),"SHA-256 hash of CoC document"
hydro_test_date,date,Yes,YYYY-MM-DD,2025-07-01,"Hydrostatic test date"
hydro_test_pressure_bar,number,Yes,decimal,7.5,"Test pressure in bar"
hydro_test_result,string,Yes,enum,pass,"Test result (pass/fail)"
hydro_test_report_sha256,string,Yes,hex64,d8e2a1b...(64_chars),"SHA-256 hash of test report"
installation_date,date,No,YYYY-MM-DD,2025-08-10,"Installation date on aircraft"
installation_msn,string,No,alphanumeric,MSN-1001,"Aircraft manufacturing serial number"
fill_cycles,number,No,integer,247,"Cumulative fill/defill cycles"
last_inspection_date,date,No,YYYY-MM-DD,2025-10-15,"Most recent inspection date"
next_inspection_due,date,No,YYYY-MM-DD,2026-10-15,"Next scheduled inspection"
status,string,Yes,enum,in_service,"Component status (in_service, retired, scrapped)"
remarks,string,No,text,Baseline_tank_configuration,"Additional notes or comments"
