Data_Type,Retention_Period_Years,Storage_Location,Access_Level,Regulatory_Basis,Archive_Format,Backup_Frequency,Review_Frequency,Destruction_Method,Remarks
FDR_Raw_Data_Routine,5,Long-term_archive_facility,Restricted,ICAO_Annex_6,Binary_+_manifest,Weekly,Annual,Secure_deletion_7-pass,"Routine operational data, minimum 5-year retention"
FDR_Raw_Data_Incident,10,Long-term_archive_facility,Confidential,FAA_14_CFR_121.344,Binary_+_manifest,Weekly,Biennial,Secure_deletion_7-pass,"Incident data, extended retention for trend analysis"
FDR_Raw_Data_Accident,Permanent,Permanent_national_archive,Investigator_only,ICAO_Annex_13,Binary_+_manifest,Monthly,Every_5_years,No_destruction,"Accident investigation evidence, never destroyed"
CVR_Audio_Test,0,Deleted_after_verification,N/A,Internal_policy,WAV_16bit_PCM,N/A,N/A,Secure_deletion_7-pass,"Test recordings deleted immediately after quality verification"
CVR_Audio_Incident,10,Secure_archive_facility,Investigator_only,FAA_14_CFR_135.609,Encrypted_WAV,Weekly,Biennial,Physical_media_destruction,"Privacy-protected, restricted access"
CVR_Audio_Accident,Permanent,Permanent_national_archive,Investigator_only,ICAO_Annex_13,Encrypted_WAV,Monthly,Every_5_years,No_destruction,"Accident investigation evidence, never destroyed"
Download_Manifests,Permanent,DPP_repository,Restricted,Internal_policy,JSON,Daily,Annual,No_destruction,"Manifests with SHA-256 hashes, permanent record"
Chain_Of_Custody_Logs,Permanent,DPP_repository,Restricted,Internal_policy,JSON_+_PDF,Daily,Annual,No_destruction,"Custody documentation, permanent legal record"
Quality_Verification_Reports,5,Archive_facility,Restricted,Internal_policy,PDF,Weekly,Annual,Secure_deletion,"Technical reports for routine downloads"
Test_Certificates,Permanent,DPP_repository,Public,DO-160_DO-178C,PDF_+_JSON,Weekly,Every_5_years,No_destruction,"Qualification and certification evidence"
DPP_Entries,Permanent,DPP_database,Public_metadata,Internal_policy,JSON,Continuous_replication,Annual,No_destruction,"Digital Product Passport entries, immutable record"
Acoustic_Test_Results,Permanent,DPP_repository,Restricted,ED-112,PDF_+_CSV,Weekly,Every_2_years,No_destruction,"CVR acoustic qualification data"
Tool_Qualification_Records,Permanent,DPP_repository,Restricted,DO-178C_TQL-5,PDF_+_JSON,Weekly,Every_5_years,No_destruction,"Download tool qualification evidence"
Access_Logs,7,Secure_archive,Confidential,Internal_policy,CSV_+_logs,Daily,Quarterly,Secure_deletion_after_retention,"Audit trail for data access"
Environmental_Qual_Evidence,Permanent,DPP_repository,Public,DO-160,PDF_+_test_reports,Weekly,Every_5_years,No_destruction,"DO-160 environmental test evidence"
Software_Baseline_Hashes,Permanent,DPP_repository,Public,DO-178C,JSON_SHA-256,Daily,Annual,No_destruction,"Software integrity hashes for FDR/CVR units"
Microphone_Calibration_Certs,Permanent,DPP_repository,Restricted,ED-112,PDF_+_JSON,Weekly,Every_2_years,No_destruction,"CVR microphone calibration records"
Incident_Reports,10,Secure_archive,Confidential,Internal_policy,PDF,Weekly,Annual,Secure_deletion_after_retention,"Safety reports linked to recording data"
Investigator_Access_Logs,Permanent,Secure_archive,Investigator_only,ICAO_Annex_13,Encrypted_logs,Daily,Annual,No_destruction,"Access by external investigators, permanent record"
Training_Records,Employment_+_7,HR_archive,Restricted,Internal_policy,PDF,Monthly,Annual,Secure_deletion_after_retention,"Personnel qualification for downloads"
