System_Requirement_ID,Software_Requirement_ID,Component_ID,Component_Name,Function,Design_Reference,Code_Reference,Test_Case_ID,Verification_Method,Status,Notes
SYS-REQ-2400010-001,FR-24-00-010-001,2400010,energy_management_system,Function_1,ATA-24-00-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-010_energy_management_system.c,TEST-010-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400010-002,FR-24-00-010-002,2400010,energy_management_system,Function_2,ATA-24-00-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-010_energy_management_system.c,TEST-010-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400010-003,FR-24-00-010-003,2400010,energy_management_system,Function_3,ATA-24-00-00-SWDOC-010_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-010_energy_management_system.c,TEST-010-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400011-001,FR-24-00-011-001,2400011,power_conversion_firmware,Function_1,ATA-24-00-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-011_power_conversion_firmware.c,TEST-011-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400011-002,FR-24-00-011-002,2400011,power_conversion_firmware,Function_2,ATA-24-00-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-011_power_conversion_firmware.c,TEST-011-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400011-003,FR-24-00-011-003,2400011,power_conversion_firmware,Function_3,ATA-24-00-00-SWDOC-011_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-011_power_conversion_firmware.c,TEST-011-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400012-001,FR-24-00-012-001,2400012,battery_management_system,Function_1,ATA-24-00-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-012_battery_management_system.c,TEST-012-001,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400012-002,FR-24-00-012-002,2400012,battery_management_system,Function_2,ATA-24-00-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-012_battery_management_system.c,TEST-012-002,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400012-003,FR-24-00-012-003,2400012,battery_management_system,Function_3,ATA-24-00-00-SWDOC-012_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-012_battery_management_system.c,TEST-012-003,Test + Review,Planned,DAL-A requirement
SYS-REQ-2400013-001,FR-24-00-013-001,2400013,protections_relay_logic,Function_1,ATA-24-00-00-SWDOC-013_DESIGN_DESCRIPTION.md,ATA-24-00-00-SW-013_protections_relay_logic.c,TEST-013-001,Test + Review,Planned,DAL-A requirement
